serialnbr,productcode,batchnbr,Machinetime,Assemblytime,Finishingtime,cost
P2B2324N15,P2,B2324,3.1,3.86,4.91,62.34
P2B2324N16,P2,B2324,3.1,3.7,4.97,62.16
P2B2324N17,P2,B2324,2.82,4.25,5.09,63.86
P2B2324N18,P2,B2324,3.01,4.04,5.23,64.3
P2B2324N19,P2,B2324,2.98,4.04,5.0,63.08
P2B2324N20,P2,B2324,3.16,4.13,5.15,64.45
P2B2325N11,P2,B2325,3.09,4.07,4.94,63.08
P2B2325N12,P2,B2325,3.0,3.91,4.86,62.03
P2B2325N13,P2,B2325,3.24,4.08,4.72,62.32
P2B2325N14,P2,B2325,3.09,4.15,5.2,64.62
P2B2325N15,P2,B2325,2.89,3.96,4.92,62.24
P2B2325N16,P2,B2325,3.07,3.97,5.34,64.74
P2B2325N17,P2,B2325,3.05,3.79,4.99,62.41
P2B2325N18,P2,B2325,2.99,4.09,4.93,62.91
P2B2325N19,P2,B2325,3.19,3.97,4.95,63.04
P2B2325N20,P2,B2325,2.99,4.01,4.79,61.96
P2B2326N11,P2,B2326,2.9,4.15,5.08,63.66
P2B2326N12,P2,B2326,2.93,4.26,4.75,62.4
P2B2326N13,P2,B2326,2.85,4.14,5.03,63.28
P2B2326N14,P2,B2326,2.92,4.07,4.98,62.94
P2B2326N15,P2,B2326,2.93,4.19,4.74,62.11
P2B2326N16,P2,B2326,3.05,3.98,5.39,64.97
P2B2326N17,P2,B2326,3.05,4.13,5.15,64.23
P2B2326N18,P2,B2326,3.11,3.93,4.82,62.12
P2B2326N19,P2,B2326,3.06,4.05,5.06,63.57
P2B2326N20,P2,B2326,2.93,3.87,5.01,62.52
P2B2327N11,P2,B2327,3.02,3.79,5.0,62.41
P2B2327N12,P2,B2327,2.87,4.12,4.87,62.45
P2B2327N13,P2,B2327,3.0,4.13,4.94,63.07
P2B2327N14,P2,B2327,3.12,4.05,5.32,65.01
P2B2327N15,P2,B2327,2.96,3.95,5.14,63.48
P2B2327N16,P2,B2327,2.96,3.82,4.94,62.07
P2B2327N17,P2,B2327,2.96,3.98,4.77,61.72
P2B2327N18,P2,B2327,2.97,4.24,5.19,64.62
P2B2327N19,P2,B2327,3.03,4.11,4.73,62.05
P2B2327N20,P2,B2327,2.88,3.76,5.03,62.21
P2B2328N11,P2,B2328,3.09,3.79,4.91,62.12
P2B2328N12,P2,B2328,2.89,4.06,4.92,62.56
P2B2328N13,P2,B2328,2.98,4.31,5.31,65.45
P2B2328N14,P2,B2328,3.17,4.06,4.87,62.86
P2B2328N15,P2,B2328,2.99,3.8,4.93,62.02
P2B2328N16,P2,B2328,3.0,3.76,5.01,62.34
P2B2328N17,P2,B2328,3.02,3.91,4.99,62.72
P2B2328N18,P2,B2328,3.24,4.06,5.13,64.31
P2B2328N19,P2,B2328,2.99,3.95,4.97,62.69
P2B2328N20,P2,B2328,2.81,3.95,4.88,61.87
P2B2329N11,P2,B2329,3.01,4.15,5.15,64.21
P2B2329N12,P2,B2329,2.92,4.01,4.89,62.31
P2B2329N13,P2,B2329,3.09,4.05,5.19,64.3
P2B2329N14,P2,B2329,2.98,4.28,5.02,63.89
P2B2329N15,P2,B2329,3.05,4.29,4.86,63.25
P2B2329N16,P2,B2329,3.06,3.87,4.8,61.73
P2B2329N17,P2,B2329,2.95,3.8,5.09,62.75
P2B2329N18,P2,B2329,3.15,3.6,4.95,61.86
P2B2329N19,P2,B2329,2.92,3.88,4.9,61.97
P2B2329N20,P2,B2329,3.04,3.97,5.07,63.33
P2B2330N11,P2,B2330,3.08,3.9,4.98,62.76
P2B2330N12,P2,B2330,2.98,3.98,4.81,61.94
P2B2330N13,P2,B2330,3.17,3.96,4.92,62.82
P2B2330N14,P2,B2330,3.06,3.92,4.85,62.12
P2B2330N15,P2,B2330,3.19,4.05,4.93,63.17
P2B2330N16,P2,B2330,3.02,3.93,4.94,62.53
P2B2330N17,P2,B2330,3.05,3.86,4.88,62.09
P2B2330N18,P2,B2330,3.04,3.93,5.06,63.17
P2B2330N19,P2,B2330,2.92,3.84,5.06,62.66
P2B2330N20,P2,B2330,2.83,4.07,5.08,63.28
P2B2331N11,P2,B2331,3.23,4.06,5.01,63.69
P2B2331N12,P2,B2331,3.06,4.23,4.65,62.07
P2B2331N13,P2,B2331,2.89,3.87,4.99,62.34
P2B2331N14,P2,B2331,3.04,3.88,4.65,60.97
P2B2331N15,P2,B2331,3.06,4.08,5.18,64.25
P2B2331N16,P2,B2331,3.12,3.92,4.94,62.7
P2B2331N17,P2,B2331,3.01,4.01,5.34,64.76
P2B2331N18,P2,B2331,3.08,4.17,4.9,63.17
P2B2331N19,P2,B2331,2.95,3.88,4.96,62.34
P2B2331N20,P2,B2331,3.02,3.85,5.34,64.28
P2B2332N11,P2,B2332,2.97,4.08,4.99,63.12
P2B2332N12,P2,B2332,3.12,4.14,4.82,62.77
P2B2332N13,P2,B2332,3.1,4.13,4.81,62.64
P2B2332N14,P2,B2332,2.99,4.04,5.0,63.1
P2B2332N15,P2,B2332,3.11,3.96,4.67,61.45
P2B2332N16,P2,B2332,2.96,4.04,4.68,61.44
P2B2332N17,P2,B2332,3.12,3.7,5.04,62.56
P2B2332N18,P2,B2332,3.09,3.99,4.96,62.97
P2B2332N19,P2,B2332,2.86,3.88,4.91,61.91
P2B2332N20,P2,B2332,2.89,4.0,4.54,60.47
P2B2333N11,P2,B2333,2.95,3.97,5.06,63.11
P2B2333N12,P2,B2333,3.02,4.0,4.87,62.41
P2B2333N13,P2,B2333,3.0,3.98,4.98,62.84
P2B2333N14,P2,B2333,2.95,3.99,5.21,63.94
P2B2333N15,P2,B2333,2.97,3.95,4.93,62.44
P2B2333N16,P2,B2333,2.88,4.08,5.02,63.11
P2B2333N17,P2,B2333,3.02,4.14,4.89,62.91
P2B2333N18,P2,B2333,2.71,4.0,4.89,61.86
P2B2333N19,P2,B2333,3.07,3.98,4.8,62.07
P2B2333N20,P2,B2333,2.96,4.11,4.84,62.44
P2B2334N11,P2,B2334,3.02,4.1,5.04,63.55
P2B2334N12,P2,B2334,2.93,4.01,5.03,63.05
P2B2334N13,P2,B2334,3.02,3.98,5.06,63.28
P2B2334N14,P2,B2334,2.93,4.15,5.08,63.71
P2B2334N15,P2,B2334,2.94,4.13,5.07,63.63
P2B2334N16,P2,B2334,2.87,3.77,5.08,62.46
P2B2334N17,P2,B2334,3.03,4.02,5.05,63.37
P2B2334N18,P2,B2334,3.05,3.88,4.87,62.1
P2B2334N19,P2,B2334,2.93,3.92,5.01,62.69
P2B2334N20,P2,B2334,3.06,3.86,5.18,63.58
P2B2335N11,P2,B2335,2.88,4.18,5.2,64.31
P2B2335N12,P2,B2335,2.95,3.95,4.75,61.51
P2B2335N13,P2,B2335,3.04,4.24,4.76,62.61
P2B2335N14,P2,B2335,2.93,3.92,5.18,63.52
P2B2335N15,P2,B2335,3.05,3.71,4.92,61.82
P2B2335N16,P2,B2335,2.99,4.05,4.94,62.84
P2B2335N17,P2,B2335,2.88,4.21,5.05,63.65
P2B2335N18,P2,B2335,3.0,3.84,4.83,61.67
P2B2335N19,P2,B2335,3.14,4.05,4.68,61.84
P2B2335N20,P2,B2335,2.86,3.89,4.89,61.84
P2B2336N11,P2,B2336,2.89,3.86,5.16,63.15
P2B2336N12,P2,B2336,3.12,4.09,4.7,62.02
P2B2336N13,P2,B2336,2.97,4.01,5.06,63.26
P2B2336N14,P2,B2336,3.12,3.94,5.04,63.27
P2B2336N15,P2,B2336,3.13,3.96,4.72,61.74
P2B2336N16,P2,B2336,2.97,3.97,4.69,61.3
P2B2336N17,P2,B2336,2.97,4.22,4.97,63.44
P2B2336N18,P2,B2336,2.97,4.15,4.88,62.79
P2B2336N19,P2,B2336,2.81,4.08,4.8,61.85
P2B2336N20,P2,B2336,3.19,4.19,4.69,62.4
P2B2337N11,P2,B2337,3.1,4.02,5.11,63.79
P2B2337N12,P2,B2337,2.99,3.84,5.17,63.35
P2B2337N13,P2,B2337,3.07,4.19,5.03,63.86
P2B2337N14,P2,B2337,3.02,3.93,5.04,63.02
P2B2337N15,P2,B2337,2.97,3.97,5.39,64.81
P2B2337N16,P2,B2337,3.04,4.21,4.72,62.33
P2B2337N17,P2,B2337,2.92,3.61,4.81,60.71
P2B2337N18,P2,B2337,3.1,4.08,5.17,64.29
P2B2337N19,P2,B2337,3.18,3.97,4.87,62.63
P2B2337N20,P2,B2337,2.99,4.03,4.9,62.57
P2B2338N11,P2,B2338,2.99,3.73,5.37,64.02
P2B2338N12,P2,B2338,2.99,3.92,5.22,63.84
P2B2338N13,P2,B2338,2.95,3.96,5.01,62.85
P2B2338N14,P2,B2338,3.01,4.02,5.16,63.89
P2B2338N15,P2,B2338,3.09,3.86,4.94,62.46
P2B2338N16,P2,B2338,3.15,3.92,4.96,62.85
P2B2338N17,P2,B2338,2.91,3.99,4.47,60.14
P2B2338N18,P2,B2338,3.02,3.96,4.97,62.77
P2B2338N19,P2,B2338,2.97,3.85,4.83,61.63
P2B2338N20,P2,B2338,2.98,3.97,5.08,63.27
P2B2339N11,P2,B2339,3.08,3.92,5.19,63.87
P2B2339N12,P2,B2339,2.97,4.19,5.11,64.08
P2B2339N13,P2,B2339,2.91,3.83,4.73,60.95
P2B2339N14,P2,B2339,3.07,4.09,5.07,63.78
P2B2339N15,P2,B2339,2.87,3.95,4.78,61.49
P2B2339N16,P2,B2339,3.05,4.0,4.79,62.04
P2B2339N17,P2,B2339,2.99,4.03,5.02,63.17
P2B2339N18,P2,B2339,2.72,3.9,5.09,62.59
P2B2339N19,P2,B2339,3.1,3.87,5.02,62.91
P2B2339N20,P2,B2339,3.07,3.97,4.73,61.71
P2B2340N11,P2,B2340,3.02,3.99,4.82,62.09
P2B2340N12,P2,B2340,3.02,4.06,5.03,63.36
P2B2340N13,P2,B2340,3.18,4.23,5.01,64.11
P2B2340N14,P2,B2340,3.02,4.21,4.9,63.17
P2B2340N15,P2,B2340,3.14,3.9,4.8,61.98
P2B2340N16,P2,B2340,3.02,4.26,5.12,64.42
P2B2340N17,P2,B2340,2.98,4.09,5.1,63.73
P2B2340N18,P2,B2340,3.12,3.82,5.1,63.18
P2B2340N19,P2,B2340,2.92,3.96,5.18,63.63
P2B2340N20,P2,B2340,2.82,3.96,4.96,62.31
P2B2341N11,P2,B2341,2.92,3.93,5.02,62.72
P2B2341N12,P2,B2341,3.09,4.28,5.12,64.61
P2B2341N13,P2,B2341,2.93,3.93,5.28,64.05
P2B2341N14,P2,B2341,3.13,3.92,4.86,62.33
P2B2341N15,P2,B2341,2.95,3.9,4.67,60.95
P2B2341N16,P2,B2341,3.1,4.01,4.83,62.4
P2B2341N17,P2,B2341,3.0,3.87,4.99,62.57
P2B2341N18,P2,B2341,3.06,3.94,5.05,63.18
P2B2341N19,P2,B2341,3.17,3.85,5.16,63.67
P2B2341N20,P2,B2341,3.15,4.02,4.97,63.23
P2B2342N11,P2,B2342,3.11,4.23,4.9,63.41
P2B2342N12,P2,B2342,2.88,3.71,4.76,60.67
P2B2342N13,P2,B2342,2.88,3.81,5.3,63.7
P2B2342N14,P2,B2342,2.92,3.7,4.7,60.44
P2B2342N15,P2,B2342,3.03,3.95,5.37,64.76
P2B2342N16,P2,B2342,2.9,4.04,4.69,61.38
P2B2342N17,P2,B2342,3.11,4.16,5.19,64.65
P2B2342N18,P2,B2342,2.9,3.95,5.09,63.11
P2B2342N19,P2,B2342,2.94,4.12,5.1,63.74
P2B2342N20,P2,B2342,3.06,4.01,5.09,63.6
P2B2343N11,P2,B2343,2.85,4.29,5.06,63.87
P2B2343N12,P2,B2343,2.95,4.08,5.09,63.6
P2B2343N13,P2,B2343,2.91,4.03,4.85,62.15
P2B2343N14,P2,B2343,3.05,4.2,5.18,64.59
P2B2343N15,P2,B2343,3.1,3.91,4.94,62.62
P2B2343N16,P2,B2343,3.03,3.86,5.1,63.14
P2B2343N17,P2,B2343,2.93,3.97,5.02,62.87
P2B2343N18,P2,B2343,2.94,3.94,5.23,63.84
P2B2343N19,P2,B2343,3.01,4.26,5.0,63.8
P2B2343N20,P2,B2343,3.09,4.19,4.9,63.26
P2B2344N11,P2,B2344,3.14,4.02,5.51,65.9
P2B2344N12,P2,B2344,3.1,3.82,4.83,61.82
P2B2344N13,P2,B2344,3.14,3.9,4.83,62.14
P2B2344N14,P2,B2344,2.95,3.77,5.25,63.47
P2B2344N15,P2,B2344,3.03,3.95,4.85,62.15
P2B2344N16,P2,B2344,3.0,4.12,4.97,63.2
P2B2344N17,P2,B2344,2.99,4.13,5.23,64.52
P2B2344N18,P2,B2344,3.0,3.81,4.66,60.73
P2B2344N19,P2,B2344,3.27,4.16,4.91,63.55
P2B2344N20,P2,B2344,2.94,3.91,5.05,62.85
P2B2345N11,P2,B2345,3.17,4.09,5.13,64.26
P2B2345N12,P2,B2345,3.05,3.92,5.0,62.86
P2B2345N13,P2,B2345,2.92,4.13,5.2,64.24
P2B2345N14,P2,B2345,3.03,4.02,4.95,62.88
P2B2345N15,P2,B2345,3.03,3.92,4.9,62.34
P2B2345N16,P2,B2345,3.09,4.08,5.03,63.56
P2B2345N17,P2,B2345,3.15,4.02,5.04,63.56
P2B2345N18,P2,B2345,3.05,4.07,4.79,62.26
P2B2345N19,P2,B2345,2.93,3.85,5.09,62.85
P2B2345N20,P2,B2345,3.07,4.22,4.89,63.24
P2B2346N11,P2,B2346,2.82,4.0,4.83,61.79
P2B2346N12,P2,B2346,2.93,3.94,5.02,62.78
P2B2346N13,P2,B2346,3.04,3.83,4.88,61.97
P2B2346N14,P2,B2346,3.03,3.89,5.34,64.43
P2B2346N15,P2,B2346,3.12,3.87,5.02,62.94
P2B2346N16,P2,B2346,3.04,3.87,5.16,63.51
P2B2346N17,P2,B2346,2.87,4.12,5.02,63.2
P2B2346N18,P2,B2346,3.07,4.08,5.32,64.96
P2B2346N19,P2,B2346,2.95,4.13,4.67,61.63
P2B2346N20,P2,B2346,3.04,4.04,5.38,65.1
P2B2347N11,P2,B2347,2.92,4.14,5.16,64.07
P2B2347N12,P2,B2347,2.99,3.78,5.02,62.43
P2B2347N13,P2,B2347,2.99,3.97,4.98,62.79
P2B2347N14,P2,B2347,2.94,3.96,4.76,61.55
P2B2347N15,P2,B2347,2.84,4.17,4.75,61.94
P2B2347N16,P2,B2347,2.96,4.01,5.08,63.34
P2B2347N17,P2,B2347,3.02,3.86,4.99,62.57
P2B2347N18,P2,B2347,3.01,4.03,4.87,62.48
P2B2347N19,P2,B2347,3.13,4.04,5.12,63.99
P2B2347N20,P2,B2347,2.93,3.7,4.82,61.05
P2B2348N11,P2,B2348,3.04,3.75,4.84,61.54
P2B2348N12,P2,B2348,3.01,4.16,5.34,65.2
P2B2348N13,P2,B2348,2.92,3.89,4.79,61.46
P2B2348N14,P2,B2348,3.06,4.28,4.98,63.84
P2B2348N15,P2,B2348,3.07,3.7,4.85,61.48
P2B2348N16,P2,B2348,2.79,4.0,4.75,61.34
P2B2348N17,P2,B2348,3.04,4.14,5.1,64.0
P2B2348N18,P2,B2348,2.84,4.0,5.04,62.87
P2B2348N19,P2,B2348,2.97,4.01,4.99,62.9
P2B2348N20,P2,B2348,2.92,3.99,5.1,63.31
P2B2349N11,P2,B2349,2.99,4.07,4.92,62.78
P2B2349N12,P2,B2349,3.02,3.89,5.07,63.08
P2B2349N13,P2,B2349,2.88,3.82,4.93,61.88
P2B2349N14,P2,B2349,3.18,4.17,5.14,64.58
P2B2349N15,P2,B2349,2.92,3.97,4.8,61.75
P2B2349N16,P2,B2349,2.93,3.92,5.23,63.78
P2B2349N17,P2,B2349,3.15,3.92,5.09,63.51
P2B2349N18,P2,B2349,3.02,3.68,4.82,61.18
P2B2349N19,P2,B2349,3.12,3.88,4.95,62.64
P2B2349N20,P2,B2349,2.88,3.91,4.76,61.29
P2B2350N11,P2,B2350,3.01,4.06,5.21,64.26
P2B2350N12,P2,B2350,2.97,4.14,5.04,63.54
P2B2350N13,P2,B2350,3.01,3.9,4.98,62.63
P2B2350N14,P2,B2350,3.16,4.06,5.11,64.06
P2B2350N15,P2,B2350,3.11,3.94,4.9,62.54
P2B2350N16,P2,B2350,2.89,4.19,4.84,62.55
P2B2350N17,P2,B2350,3.1,4.04,4.86,62.64
P2B2350N18,P2,B2350,3.09,3.77,4.84,61.69
P2B2350N19,P2,B2350,3.11,3.96,5.1,63.59
P2B2350N20,P2,B2350,3.08,4.15,5.28,65.02
P2B2351N11,P2,B2351,2.9,3.93,5.03,62.74
P2B2351N12,P2,B2351,3.2,4.15,4.72,62.45
P2B2351N13,P2,B2351,3.0,4.03,5.0,63.1
P2B2351N14,P2,B2351,3.02,4.12,5.04,63.58
P2B2351N15,P2,B2351,3.1,3.78,5.02,62.65
P2B2351N16,P2,B2351,2.99,4.25,4.94,63.43
P2B2351N17,P2,B2351,3.02,4.02,4.91,62.64
P2B2351N18,P2,B2351,3.06,4.1,4.72,62.01
P2B2351N19,P2,B2351,2.94,3.77,5.14,62.89
P2B2351N20,P2,B2351,3.04,3.8,4.94,62.18
P2B2352N11,P2,B2352,3.18,3.98,5.1,63.8
P2B2352N12,P2,B2352,2.95,3.83,5.12,63.0
P2B2352N13,P2,B2352,3.09,4.05,4.89,62.78
P2B2352N14,P2,B2352,3.07,4.06,4.94,63.02
P2B2352N15,P2,B2352,3.08,3.83,5.03,62.79
P2B2352N16,P2,B2352,3.08,4.02,5.06,63.52
P2B2352N17,P2,B2352,3.11,3.97,5.01,63.17
P2B2352N18,P2,B2352,2.93,4.11,5.31,64.74
P2B2352N19,P2,B2352,3.08,4.24,5.23,65.03
P2B2352N20,P2,B2352,3.2,4.04,5.11,64.06
P2B2353N11,P2,B2353,3.05,4.11,4.91,62.96
P2B2353N12,P2,B2353,2.93,3.92,4.91,62.17
P2B2353N13,P2,B2353,2.77,4.15,4.99,62.94
P2B2353N14,P2,B2353,3.12,4.1,4.89,63.0
P2B2353N15,P2,B2353,2.87,4.3,5.01,63.69
P2B2353N16,P2,B2353,3.21,4.16,5.07,64.23
P2B2353N17,P2,B2353,2.93,4.07,5.0,63.06
P2B2353N18,P2,B2353,2.82,3.69,5.06,62.02
P2B2353N19,P2,B2353,3.04,4.3,4.66,62.28
P2B2353N20,P2,B2353,2.92,3.78,4.88,61.59
P2B2354N11,P2,B2354,3.11,4.21,4.9,63.36
P2B2354N12,P2,B2354,3.1,4.29,5.08,64.46
P2B2354N13,P2,B2354,3.16,3.94,5.06,63.44
P2B2354N14,P2,B2354,3.27,3.88,4.95,62.93
P2B2354N15,P2,B2354,3.04,4.26,4.96,63.66
P2B2354N16,P2,B2354,2.9,3.96,5.03,62.83
P2B2354N17,P2,B2354,2.97,4.08,5.46,65.48
P2B2354N18,P2,B2354,2.84,4.2,4.8,62.27
P2B2354N19,P2,B2354,3.07,4.21,4.62,61.87
P2B2354N20,P2,B2354,3.11,4.0,5.02,63.31
P2B2355N11,P2,B2355,3.08,4.31,5.02,64.2
P2B2355N12,P2,B2355,3.1,4.28,4.93,63.71
P2B2355N13,P2,B2355,3.02,4.09,5.0,63.32
P2B2355N14,P2,B2355,2.9,4.0,4.84,62.02
P2B2355N15,P2,B2355,2.95,4.12,4.94,62.95
P2B2355N16,P2,B2355,3.04,4.1,5.31,64.93
P2B2355N17,P2,B2355,2.84,4.11,4.73,61.66
P2B2355N18,P2,B2355,2.97,3.84,5.07,62.82
P2B2355N19,P2,B2355,3.01,3.89,5.02,62.78
P2B2355N20,P2,B2355,2.97,3.75,5.05,62.44
P2B2356N11,P2,B2356,3.09,4.05,5.0,63.34
P2B2356N12,P2,B2356,2.96,3.94,5.04,62.93
P2B2356N13,P2,B2356,3.0,3.86,5.09,63.03
P2B2356N14,P2,B2356,2.89,4.08,5.32,64.61
P2B2356N15,P2,B2356,3.08,4.11,4.95,63.23
P2B2356N16,P2,B2356,2.94,3.89,5.03,62.71
P2B2356N17,P2,B2356,3.1,3.94,5.04,63.22
P2B2356N18,P2,B2356,2.92,4.01,5.1,63.38
P2B2356N19,P2,B2356,3.27,3.95,5.01,63.43
P2B2356N20,P2,B2356,2.88,3.94,4.93,62.22
P2B2357N11,P2,B2357,3.03,3.94,4.83,62.04
P2B2357N12,P2,B2357,2.97,3.91,4.87,62.01
P2B2357N13,P2,B2357,2.97,4.06,4.76,61.92
P2B2357N14,P2,B2357,3.04,4.04,5.0,63.2
P2B2357N15,P2,B2357,3.12,3.98,4.59,61.13
P2B2357N16,P2,B2357,2.85,4.49,5.0,64.18
P2B2357N17,P2,B2357,2.91,3.89,4.64,60.7
P2B2357N18,P2,B2357,2.96,3.87,5.17,63.39
P2B2357N19,P2,B2357,2.99,4.01,4.83,62.16
P2B2357N20,P2,B2357,3.24,4.17,5.15,64.73
P2B2358N11,P2,B2358,2.97,4.07,5.11,63.71
P2B2358N12,P2,B2358,2.94,3.93,5.03,62.83
P2B2358N13,P2,B2358,3.05,4.11,5.14,64.13
P2B2358N14,P2,B2358,3.01,4.04,4.83,62.3
P2B2358N15,P2,B2358,3.0,4.17,5.11,64.07
P2B2358N16,P2,B2358,3.05,3.95,4.68,61.35
P2B2358N17,P2,B2358,2.9,3.96,4.99,62.65
P2B2358N18,P2,B2358,3.1,3.8,5.01,62.66
P2B2358N19,P2,B2358,3.01,4.11,4.98,63.25
P2B2358N20,P2,B2358,3.13,3.96,5.02,63.23
P2B2359N11,P2,B2359,3.15,4.03,4.6,61.39
P2B2359N12,P2,B2359,2.92,4.21,5.01,63.51
P2B2359N13,P2,B2359,3.1,4.08,4.81,62.47
P2B2359N14,P2,B2359,2.99,3.85,5.0,62.53
P2B2359N15,P2,B2359,2.86,4.14,5.06,63.45
P2B2359N16,P2,B2359,3.0,3.93,5.25,64.04
P2B2359N17,P2,B2359,2.93,4.07,4.66,61.38
P2B2359N18,P2,B2359,3.05,3.75,4.98,62.24
P2B2359N19,P2,B2359,2.92,4.04,5.0,62.97
P2B2359N20,P2,B2359,3.06,4.06,4.89,62.76
P2B2360N11,P2,B2360,2.92,3.92,5.09,63.06
P2B2360N12,P2,B2360,2.93,3.93,5.25,63.88
P2B2360N13,P2,B2360,3.06,4.02,5.16,63.98
P2B2360N14,P2,B2360,3.13,4.02,4.86,62.62
P2B2360N15,P2,B2360,3.03,4.12,4.93,63.08
P2B2360N16,P2,B2360,3.17,3.97,5.15,64.0
P2B2360N17,P2,B2360,3.08,4.1,4.82,62.55
P2B2360N18,P2,B2360,2.75,3.86,4.94,61.78
P2B2360N19,P2,B2360,2.85,4.1,4.51,60.52
P2B2360N20,P2,B2360,2.99,3.81,4.78,61.3
P2B2361N11,P2,B2361,3.24,3.88,5.15,63.88
P2B2361N12,P2,B2361,3.02,4.05,5.37,65.03
P2B2361N13,P2,B2361,3.03,3.95,5.24,64.11
P2B2361N14,P2,B2361,2.93,3.98,4.67,61.14
P2B2361N15,P2,B2361,3.06,3.87,5.0,62.74
P2B2361N16,P2,B2361,3.03,4.14,4.78,62.39
P2B2361N17,P2,B2361,2.87,3.92,5.13,63.15
P2B2361N18,P2,B2361,3.0,4.24,4.91,63.28
P2B2361N19,P2,B2361,3.01,4.13,4.65,61.67
P2B2361N20,P2,B2361,3.12,3.87,4.91,62.41
P2B2362N11,P2,B2362,3.16,3.93,5.08,63.51
P2B2362N12,P2,B2362,3.04,4.12,4.98,63.35
P2B2362N13,P2,B2362,3.03,3.91,4.84,61.98
P2B2362N14,P2,B2362,3.07,4.12,5.0,63.5
P2B2362N15,P2,B2362,2.89,4.2,4.86,62.69
P2B2362N16,P2,B2362,3.13,3.95,4.96,62.91
P2B2362N17,P2,B2362,3.04,4.02,4.73,61.78
P2B2362N18,P2,B2362,3.05,4.12,5.04,63.66
P2B2362N19,P2,B2362,3.04,3.89,4.97,62.61
P2B2362N20,P2,B2362,2.93,4.0,5.0,62.86
P2B2363N11,P2,B2363,2.92,4.04,5.03,63.12
P2B2363N12,P2,B2363,2.9,3.95,4.87,61.99
P2B2363N13,P2,B2363,3.01,4.03,5.09,63.56
P2B2363N14,P2,B2363,2.94,4.18,4.84,62.63
P2B2363N15,P2,B2363,2.85,4.05,4.92,62.45
P2B2363N16,P2,B2363,2.93,4.01,4.93,62.55
P2B2363N17,P2,B2363,3.01,4.1,5.2,64.31
P2B2363N18,P2,B2363,2.97,4.1,4.99,63.2
P2B2363N19,P2,B2363,3.01,3.85,4.98,62.46
P2B2363N20,P2,B2363,3.07,4.04,4.95,63.0
P2B2364N11,P2,B2364,2.9,4.07,5.23,64.15
P2B2364N12,P2,B2364,2.98,4.17,4.4,60.47
P2B2364N13,P2,B2364,2.9,3.93,4.91,62.13
P2B2364N14,P2,B2364,3.15,4.09,5.22,64.66
P2B2364N15,P2,B2364,2.99,3.98,4.88,62.33
P2B2364N16,P2,B2364,2.94,4.3,5.13,64.45
P2B2364N17,P2,B2364,2.87,3.95,4.79,61.53
P2B2364N18,P2,B2364,2.91,3.97,4.76,61.53
P2B2364N19,P2,B2364,2.91,3.96,4.88,62.1
P2B2364N20,P2,B2364,2.98,4.21,5.15,64.35
P2B2365N11,P2,B2365,3.01,3.92,4.71,61.31
P2B2365N12,P2,B2365,3.0,3.94,4.89,62.27
P2B2365N13,P2,B2365,3.08,3.97,4.49,60.52
P2B2365N14,P2,B2365,2.98,3.9,4.93,62.32
P2B2365N15,P2,B2365,3.11,3.8,4.85,61.88
P2B2365N16,P2,B2365,3.05,3.88,5.15,63.48
P2B2365N17,P2,B2365,3.05,4.04,5.25,64.46
P2B2365N18,P2,B2365,3.01,4.0,4.99,62.97
P2B2365N19,P2,B2365,3.01,4.14,5.08,63.84
P2B2365N20,P2,B2365,2.91,4.05,5.01,63.02
P2B2366N11,P2,B2366,2.99,3.98,4.72,61.52
P2B2366N12,P2,B2366,2.95,3.83,5.11,62.93
P2B2366N13,P2,B2366,3.13,4.09,5.04,63.72
P2B2366N14,P2,B2366,2.95,3.86,4.91,62.02
P2B2366N15,P2,B2366,2.99,4.23,5.24,64.87
P2B2366N16,P2,B2366,3.13,3.96,5.07,63.49
P2B2366N17,P2,B2366,3.03,4.18,5.12,64.21
P2B2366N18,P2,B2366,2.96,4.04,4.91,62.6
P2B2366N19,P2,B2366,2.97,4.01,5.11,63.52
P2B2366N20,P2,B2366,3.09,3.85,5.1,63.23
P2B2367N11,P2,B2367,3.0,3.94,5.0,62.81
P2B2367N12,P2,B2367,2.84,4.06,5.2,63.86
P2B2367N13,P2,B2367,2.92,3.84,5.23,63.52
P2B2367N14,P2,B2367,2.88,3.9,5.0,62.45
P2B2367N15,P2,B2367,3.0,3.97,5.0,62.9
P2B2367N16,P2,B2367,2.77,4.05,5.13,63.34
P2B2367N17,P2,B2367,3.07,3.84,4.6,60.66
P2B2367N18,P2,B2367,2.84,3.81,4.9,61.6
P2B2367N19,P2,B2367,3.19,4.05,4.91,63.09
P2B2367N20,P2,B2367,2.97,4.22,5.07,63.96
P2B2368N11,P2,B2368,2.84,4.07,5.11,63.45
P2B2368N12,P2,B2368,3.06,3.88,5.34,64.47
P2B2368N13,P2,B2368,3.01,3.98,4.9,62.45
P2B2368N14,P2,B2368,3.1,4.12,5.01,63.62
P2B2368N15,P2,B2368,3.01,3.87,5.02,62.72
P2B2368N16,P2,B2368,2.99,4.06,5.04,63.34
P2B2368N17,P2,B2368,3.05,3.98,4.95,62.8
P2B2368N18,P2,B2368,2.93,3.87,4.86,61.77
P2B2368N19,P2,B2368,3.07,4.12,4.93,63.17
P2B2368N20,P2,B2368,2.91,3.89,4.69,60.95
P2B2369N11,P2,B2369,3.04,3.98,4.91,62.57
P2B2369N12,P2,B2369,3.01,3.75,5.25,63.53
P2B2369N13,P2,B2369,3.13,3.88,5.08,63.3
P2B2369N14,P2,B2369,2.97,3.95,5.28,64.2
