"BATCHNBR","TEST1","TEST2","TEST3","TEST4","TEST5","TEST6","TEST7","TEST8","TEST9","TEST10","BATCHQUALITY"
"B2244","1.43","8.15","2.86",".79","5.7","5.2","2.04","1.56","7.75","3.67","good"
"B2245","8.21","6.76","9.57",".95","6.83","8.39","1.88","4.24","1.09","1.13","good"
"B2246","5.05","2.96","7.38","2.87","7.27","7.33","7.84","2.7",".8","5.03","good"
"B2247","3.74","9.43",".85","6.82","2.95","7.62","8.99","1.31","8.45","1.24","good"
"B2248","4.18","7.43","2.14","3.12","7.43","3.01","5.29","4.25","5.74","4","good"
"B2249","7.74","5.37",".23","6.08","9.06","4.45","7.83","4.57","7.86","2.8","poor"
"B2250","1.61",".01","5.41","5.84","8.87","3.14","6.52","7.81","8.57","2.36","good"
"B2251","3.87","6.39","2.65","4.11","1.45","3.75","8.55",".28","7.06","4.95","good"
"B2252","9.27","6.97","9.63","8.59","1.39","3.56","9.86","4.29","8","2.2","good"
"B2253","5.04","3.91","1.62","1.75","3.96","1.82","6.2","5.17","1.4","6.09","good"
"B2254","9.77","6.49","7.86","4.02","3.64","9.4","6.54","3.21","7.34","2.39","good"
"B2255","5.62","8.43","1.75","6.64","8.31","2.41","1.76","5.31",".68","6.9","good"
"B2256","7.71","8.78","2.79","4.31","2.48","8.23","1.67","5.51","9.74","4.87","good"
"B2257","4.36",".75","6.6","4.23","4.18","8.4","8.71","1.58","3.96","1.49","good"
"B2258","6.11","3.59","3.21","1.48","3.28","1.69","4.73",".54",".79","5.2","good"
"B2259","8.48","3.45",".87",".4","6.35","3.07",".15","4.51","7.56","4.39","good"
"B2260",".69","4.23","2.07",".49",".03","5.85","4.44","5.29","7.58","7.11","poor"
"B2261","5.14","3.94","7.29","6","6.16","8.16","3.81","2.1","8.97","3.03","good"
"B2262","6.48","4.18","6.81","4.81","5.48","3.71","8.36","4.78","4.56","4.26","good"
"B2263","5.63","9.98","5.99","9.73","8.42","6.23","5.95","6.28","6.11","5.85","good"
"B2264","1.61","4.87","8.29","1.6","6.36","2.08","2.05","4.61","7.16","3.92","good"
"B2265","8.37","9.22","5.19","1.13","9.85","6.22","3.32","6.47","7.87","8.65","poor"
"B2266","8.67","1.75","7.44","3.09","7.62","1.24","4.17","9.71","5",".8","good"
"B2267",".53","9.43","8.45","4.69","2.45","9.36","7.57","3","6.84","8.28","good"
"B2268","2.87","7.29","2.03","9.76",".4","6.66","8.01",".61","6.59","9.5","poor"
"B2269",".82","6.05","8.31","3.25","4.07","1.97","3.12","1.47","8.64","1.05","good"
"B2270",".9","5.02",".76","2.11","5.23","8.55","1.74",".3","8.86","3.02","poor"
"B2271","1.51","9.36","1.04","8.7","2.81","5.54","2.8","3.54","5.29",".4","good"
"B2272","5.09","2.14",".01","2.75","6.14","3.4","1.24","8.64","9.6","1.23","poor"
"B2273","9.07","1.44","7.39","1.2","1.56","5.3","1.48","1.56","7.54","1.12","good"
"B2274","6.65","4.37","6.17","4.08","5.08","5.28","5.36","8.8","4.32","3.54","good"
"B2275","6.96","3.34","7.17","1.46","5.23","6.43","5.46","2.92","5.01","1.19","good"
"B2276","2.57",".01","6.88","2.6","7.77","1.56","2.81","4.48","8.94","8.2","good"
"B2277","6.59","2.67","6.15","6.56","8.93","7.38","4.07","1.47","9.9","2.44","good"
"B2278",".74","5.48","3.83",".15","6.76","2.4","4.68","2.01","1.39","7.33","good"
"B2279","4.96","5.55","1.29","7.55","1.9","3.1","6.47","1.09","7.48",".19","good"
"B2280","8.93",".5","1.85","8.72","9.92","7.62",".95","7.73","5.08","3.73","good"
"B2281","2.9","2.65","1.36","1.43","8.34","4.57","1.9","9.68","1.58","2.21","good"
"B2282","7.12","2.95","8.06","8.55","9.23","1.05","3.66",".99","6.21","6.17","good"
"B2283","3.56","6.13","8.42",".41",".58","7.1","9.41","9.98","4.25","1.2","poor"
"B2284","6.53","9.32","5.51","5.02","4.41","3.18","1.16","1.55","3.74","7.37","good"
"B2285","4.58",".86","6.27","9.08","1.91","6.88","3.87","6.03","3.91","1.8","good"
"B2286","2.17","1.29","7.21","1.28","7.04","8.16","9.32","2.25","4.13","2.44","good"
"B2287","9.17","2.32","4.57","4.01","5.22","5.04","2.64","2.78","5.57","6.82","good"
"B2288","8.37","7.35",".98","8.43","4.23","9.13","6.1","5.96","6.81","4.76","good"
"B2289","8.52","6.69","9.93","3.74","4.41","3.58","8.61",".16","9.81","9.87","good"
"B2290","2.64","5.89","9.47","8.65","2.1","2.24","7.7","7.24","4.86",".02","good"
"B2291","9.29","4.47","8.3","6.4","5.15","2.91","2.77","1.93","6.24","1.34","good"
"B2292","7.42","9.79","5.82","6.34","9.91","1.51","5.59","6.16","9.57","8.6","good"
"B2293","7.9",".9","2.15","7.57","7.7","5.49","8.46","6.01","8.72","5.31","good"
"B2294","9.83","7.86","3.1","7.23",".69","7.24","4.63","1.4","6.21","4.93","poor"
"B2295","8.02","7.07","8.56","9.49","3.45","4.27","7.78","4.6","3.67","1.13","good"
"B2296","9.25","7.73","6.22","6.59","7.65","7.96","3.64","7.58","6.64","4.09","good"
"B2297","8.57","3.29","2.1",".13","5.82","2.78","3.73","7.76","2.59","1.18","good"
"B2298","5.47","4.7","8.68",".44",".67","7.82","6.56","7.53","5.35","9.27","good"
"B2299","7.53",".06","8.89","8.7","5.69","5.4","3.46",".63","9.56","3.54","good"
"B2300","3.92","6.95","8.14","1.07","8.41","2.28","7.68","4.56","6.79","9.85","good"
"B2301","8.79","9.54","4.98","4.24",".17","7.25","5.64","1.24","8.68",".48","good"
"B2302","4.86","3.86","6.3","9.29","8.72","1.48","3.46","1.72","2.18","8.32","good"
"B2303","8.49","9.44","6.8","9.54",".94","4.96","3.39","8.61","3.26","1.5","poor"
"B2304","9.09","5.68",".27",".33","1.77","2.91","5.08","4.66","3.7","3.79","poor"
"B2305","8.56","5.21","8.82","8.52","8.61","4.85","1.55","2.35","3.75","8.99","good"
"B2306",".41","1.7","6.51","4.13","3.56","3.06","4","9.14","1.56","5.56","good"
"B2307","7.61","1.11","1.38","6.57","1.98","9.21",".1","6.4","7.36","7.54","good"
"B2308","3.14","5.76","3.34","4.98","6.72","3.8","1.6","2.08",".2",".01","good"
"B2309","7.8",".23","3.52",".2","6.62","3.49","1.56","5.23","4.55","5.36","good"
"B2310","9.04","2.7",".68","8.36","2.38","7.43","5.17","6.78","9.41","6.11","poor"
"B2311","2.24","8.33",".29","6.86","5.92","5.64","6.45","8.1","7.61","4.69","poor"
"B2312","6.82","1.27","5.9","2.86","7.16",".65","6.95",".61","4.24","1.47","good"
"B2313","3.66","4.79","6.63","3.41","7.95","5.16","6.82","2.33","3.62","10","good"
"B2314","8.84","3.31","7.19","1.61","1.64","5.97","5.26","7.24","9.72","8.35","good"
"B2315",".33","7.51","6.21","9.95","5.51","4.64","6.35","5.89","2.75","6.05","good"
"B2316",".43","8.88","8.56","6.06","6.74",".62","9.36","2.02","8.59","4.76","good"
"B2317","1.04","2.53","8.53","9.6",".25","8.68","4.06","5.72",".35","6.42","poor"
"B2318","2.69","4.42","3.41","8.21","3.02","4.85","2","9.09",".98","4.68","good"
"B2319","5.81","1.95","2.27","7.82","3.97","8.6","2.56","2.29","4.01","7.34","good"
"B2320","7.72","7.47",".44","1.51","3.33","7.54","1.53","7.76","1.08","9.35","poor"
"B2321","8.68","9.44","2.58","2.69","5.94","7.48","5.92","9.08","6.58","8.86","good"
"B2322","5.96","9.24","6.76","2.8",".43","9.12","2.58","7.82","7.69","2.25","poor"
"B2323","2.19","2.72",".11","7.19",".81",".54","8.15","6.54","7",".94","poor"
"B2324","5.38","4.02","7.15","2.76","2.12",".18","4.4","3.69","3.45","6.52","poor"
"B2325","3.34","5.27","3.38","1.66","3.41","4.69","7.66","9.4","2.98","5.49","good"
"B2326","5.07","8.06","9.41","2.87",".55","7.25","3.11","5.38","8.5","9.25","poor"
"B2327","2.61","3.92","1.31","9.1","2.8","3.44","7.06","9.25",".93",".36","good"
"B2328","5.91","2.59","6.29","9.56","4.65","9.11","2.7","7.84","8.39","2.02","good"
"B2329","8.31","2.56","5.9","4.67","5.06",".45","8.32","1.54",".34",".13","poor"
"B2330","2.85","1.87","1.88","5.97","5.81","8.41","7.65","6.94","3.26","6.75","good"
"B2331",".86","3.42","7.23","5.78","5.93","1.5","3.74","1.63",".69","9.77","good"
"B2332",".27","4.12","8.16",".88","3.15",".56","8.16","4.63","7.03","2.66","poor"
"B2333","1.56","8.5",".18","9.54","5.9",".08","7.4","9.05","9.68","2.09","poor"
"B2334","2.86","2.51","2","3.48","1.36","3.64","6.38",".71","9.95","6.05","good"
"B2335","9.6","8.43","8.19","4.55",".1","5.58","6.93","6.55","2.2","5.6","poor"
"B2336","7.84","3.04","2.78","8.44","5.53","5.77","1.73","7.02",".73","2.24","good"
"B2337","6.86",".07","1.67","3.28","9.6","5.22","9.71","3.17","1.82","6.15","good"
"B2338","9.91","4.92","4.03","8.96","2.96","3.37","9.11","5.18","6.62","2.94","good"
"B2339","8.7","3.44","3.2","9.6","6.52","9.88","1.84",".67","5.1","3.39","good"
"B2340","7.42",".72",".02",".6","3.73","1.56","5.39","5.61","3.81","7.22","poor"
"B2341","7.91","1.7","4.3",".93","2.08","4.06",".55","3.81","7.26","4.9","good"
"B2342","2.93","5.24","7.2","5.62","3.73","5.49","2.96","6.4","4.95","8.65","good"
"B2343","9.55","7.53","5.4","7.5","4.59",".65",".84","7","6.97","5.36","good"
"B2344",".11","9.27","7.5","1.55","3.75","3.66","8.81","2.52","8.74","3.78","good"
"B2345","9.65","2.59","9.58","4.05","3.32","9.41","1.5","6","2.24","1.25","good"
"B2346","2.95","9.3","4.56","5.97","4",".64","1.09","3.51","9.58","9.68","good"
"B2347","5.38","6.6","3.03","1.78",".39","7.05","6.65","8.94","3.46","6.53","poor"
"B2348","2.51","7.23","2.11","1.45","3.17","3.68","1.99","1.42","8.77","8.58","good"
"B2349","1.85",".41","4.32","9.85","3.19","8.33","2.35","3.55","9.25","8.34","good"
"B2350","5.17","1.8",".47","3.28","2.6","5.14","7.84","2.42","2.86","3.38","poor"
"B2351","5.71","6.8","2.22","3.64","1.04","1.01","5.16","6.46","1.14","6.11","good"
"B2352","8.01","2.92","5.66","5.61","9.79","8.94",".56","2.77","3.17","7.52","good"
"B2353","8.91","5.86","1.39","2.56","2.09","8.64",".3","9.89",".64",".49","good"
"B2354","3.72","3.98","6.38","6.81","3.88","5.36","5.72","6.69","8.69","3.85","good"
"B2355","3.84","1.08","7.52",".03","7.36","5.24","7.65",".79","2.63","2.48","good"
"B2356","4.76","1.45","7.95","9.94","1.12","3.26","9.48","8.32","8.75","8.23","good"
"B2357","5.65","9.7","3.3","1.81",".58",".58","5.77","4.99",".7","6.38","poor"
"B2358","5.26",".25","5.32","8.05","6.81",".32","1.46","1.4","8.27","4.6","poor"
"B2359","2.17","8.88","8.08","9.49","5.76","3.76","1.32","2.71",".19","4.17","good"
"B2360","9.73","3.2","4.34","4.6",".83","2.86","1.21","8.6","1.56","6.28","poor"
"B2361","6.31","6.83",".61","4.88","3.91","7.02","6.85",".07","9.11","5.79","poor"
"B2362","4.55","7.89",".09","5.01",".6",".67","8.22","3.5","8.29","2.84","poor"
"B2363",".71","1.36","4.18","3.92","1.69",".38","9.21","7.43","1.72","8.57","good"
"B2364","3.03","5.8","4.34",".9","7.93","5.51","4.17","9.81",".59","1.99","good"
"B2365",".61","1.54","3.06","8.52","3.74","2.56","8.02","5.11","4.31","6.46","good"
"B2366",".41","5.98","6.03","1.6","5.47","4.02","9.28","1.27","3.27","7.46","good"
"B2367","1.77","8.3","1.6","7.8","1.05","3.52","8.25","2.8","3.21","5.09","good"
"B2368","2.74","6.14","6.7","4.45","4.66","2.56",".78",".34","2.03","9.95","good"
"B2369","4.96","5.11","1.44","7.04",".19","7","7.22",".45",".95",".72","poor"
"B2370","7.36","1.9","1.63","5.29","4.07","7.87","8.31","4.19","9.8",".13","good"
"B2371","9.87","1.14","4.28","3.52","6.26","4.62","2.89","9.08","4.67","6.85","good"
"B2372","4.95","2.19","9.69","6.45","7.13","8.85","1.5","9.68","4.79","3.78","good"
"B2373","6.85",".24","4.71","8.79","2.75","4.96","7.83","1.7","9.72",".5","good"
"B2374","3.48","5.8","3.49","9.4","3.32","2.99","6.82","8.09","6.82","5.65","good"
"B2375","2.98",".12","1.41","2.13","2.12","7.68","8.05","9.75","3.22","6.25","good"
"B2376","2.41","2.74",".02","8.98",".72","1.03","4.35","3.94","1.14","9.81","good"
"B2377","5.57","9.6","2.69","3.42","1.97","1.54","4.12","1.27","2.98","6.95","good"
"B2378","9.78","8.53","2.9","5.07","1.44","5.07","3.8",".17","7.3","4.02","good"
"B2379","3.63",".11","2.7","7.21","5.65","3.7","4.11","3.96","3.37","6.77","good"
"B2380","1.93","4.87","6.85","8.38","2.33",".54","8.02","3.75","6.44","1.62","poor"
"B2381","2.09","3.53","8.85","4.38","1.09","5.38","7.08","4.1","2.56","8.84","good"
"B2382","9.13","8.27","9.34","4.61","9.07","9.89","3.87","1.97",".24","7.96","good"
"B2383","9.76","1.73","4.12","2.24","9.49","4.16","8.78",".46","9.2",".74","good"
"B2384","6.69","5.42","8.89","5.76","5.73","3.6","7.71","6.97",".36","4.91","good"
"B2385","4.28","6.08","9.94","2.54","6.64","1.32","2.58","7.28","4.94","2.81","good"
"B2386","1","7.09","2.9","8.59","1.79","6.88","6.2","1.93","3.7","5.88","good"
"B2387","1.7","8.42","2.23","9.38","5.52","6.53","7.02","3.47","7.78","6.96","good"
"B2388",".45","7.2","3.27",".85","8.13","7.25","6.23",".14","2.8","8.64","good"
"B2389","4.77","3.49","4.58","2.34","5.37","6.83","7.81","1.81","9.59","2.99","good"
"B2390","1.21","8.16","7.35","3.22","6.83","9.08","4.62","3.27","8.26","6.18","good"
"B2391","6.49","1.44","1.32","8.7","6.71","6.13","6.37","6.52","4.38","4.72","good"
"B2392","6.64","7.85","6.63","7.23","2.5","1.77","2.18","1.41","2.99","1.16","good"
"B2393","6.27",".6","6.42","5.74","1.5",".39","5.84","9.72","9.49","8.31","poor"
"B2394","2","8.36","7.49","5.08","9.83",".22","5.56","2.73","5.26","1.24","poor"
"B2395","9.71","9.71","1.02",".01","6.41","5.95","8.59","6.43","4.88","3.27","good"
"B2396","6.62","3.42","6.79","4.11","4.67","5.26","8.47","7.27",".52","6.74","good"
"B2397","2.46","1.24","7.26","3.24","9.8","6.74","5.52","5.3","2.38","3.71","good"
"B2398","4.32","3.95","7.02",".16",".57","8.15","8.92","7.08","8.69",".12","poor"
"B2399","9.17","7.74",".05","8.53","2.51","7.04",".65","6.55",".45","1.01","poor"
"B2400",".05","6.22","2.28","2.59","6.08","9.76","5.45","6.96","9.84","4.63","good"
"B2401","5.4","6.74","2.3","3.7","5.17","3.25","6.04","1.72",".58","1.89","good"
"B2402","5.69","7.34","8.07",".6","9.35","1.83","2.66","2.76","7.93","1.46","good"
"B2403","6.78",".98","8.77","9.72",".34","9.45","2.62","4.74","3.27","6.96","poor"
"B2404","3.62","9.9","6.55","2.19","1.63","8.84","4.08",".02","9.88","4.9","good"
"B2405","5.52","1.97","6.34","3.79","5.5","2.19","6.45","6.2","9.18","6.56","good"
"B2406","3.33","8.07","8.2",".2","5.4","3.59","2.79",".46","5.11","9.63","good"
"B2407","7.69","2.81","5.59","5.65",".29","1.75","4.98","6.03","1.05","1.23","poor"
"B2408",".55","2.58","8.79","8.29","7.98","2.62",".07","8.63","3.24","8.13","good"
"B2409","9.45","5.87","4.98","2.63",".23","8.06","3.93","8.89","3.47","8.86","poor"
"B2410","5.67",".49","6.16","7.99","2.38","4.3","8.81","1.4","2.28","2","good"
"B2411","7.67",".95",".61","2.67","8.21","3.81","3.16","1.86","1.56",".59","poor"
"B2412","1.93","1.72","3.73","6.85","3.95","6.85","5.05",".99","4.5","2.69","good"
"B2413","1","3.6","6.72","6.56","2.78","8.83","7.79","4.73","6.87","5.77","good"
"B2414","6.75","6.02","9.76","8.25","8.99",".45","7.43","2.86","2.52",".28","poor"
"B2415",".86","9.01","10","8.25","9.31","5.14","6.73","8.36","4.25","4.46","good"
"B2416","5.65","8.44","8.23","7.9","5.24","3.43","7.28","5.03","6.3","9.97","good"
"B2417",".36","3.82","7.5","1",".66","7.03","2.72","7.84",".87","3.05","poor"
"B2418","4.84","9.76","1.2","2.59","3.58","2.46",".52","7.01","5.53","6.6","good"
"B2419","7.6","8.28","6.06","3","3.18","3.63","4.51","5.03","8.1","5.04","good"
"B2420","1.81","5.53","4.16","5.15","7.57","5.9","2.24","7.53",".83","3.8","good"
"B2421","4.88","9.27","6.61",".5","6.06","7.57","3.07","1.6","6.14","4.27","good"
"B2422","1.47","4.2","9.21","5",".65","2.18","9.78","7.36",".38","2.03","poor"
"B2423","2.23","5.42","2.75","6.96","5.01","6.39","9.97","7.69","1.73","8.84","good"
"B2424","6.07","1.83","3.88",".25","7.42","1.02","2.79","8.09","3.75","8.23","good"
"B2425","8.78",".93","6.23","3.11","7.09","7.86","4.58",".99","6.91","6.85","good"
"B2426","4.48","5.13","7.4","2.45","3.44","6.35","4.02",".1","4.85","1.82","good"
"B2427","4.46","9.01",".74",".28","5.99","7.49","6.17","4.81","7.66","2.19","poor"
"B2428","3.22","1.3","1.17","4.16","4.91",".19","7.17","4.1","7.05","8.81","poor"
"B2429","8.82","6.1","4.4","7.04","2.93","1.16","1.75","3.27","3.51",".47","good"
"B2430","4.58","6.2","7.78",".83","8.47","1.21","3.44",".35","4.19","9.62","good"
"B2431",".81","4.91","8.17","5.2","6.51","4","2.29","7.02","6.13","4.67","good"
"B2432","2.65",".96",".08","1.17","2.92","5.83","6.69","5.2","7.56","3.79","poor"
"B2433","9.39","8.56","6.23","9.65","7.13","1.08","5.08","2.74","7.47","7.97","good"
"B2434","5.77","2.11",".3","5.78","3","3.19",".6","3.69",".06","8.39","poor"
"B2435","2.86","6.23","1.86","1.33","9.66","3.69","4.78","6.89","4.98","7.94","good"
"B2436","5.78",".38","5.8","4.79","8.63","1.03","5.12","2.91","2.06","9.83","good"
"B2437","6.76","2.45","3.65","6.07",".4","7.36","2.56","2.79","1.91","7.65","good"
"B2438","9.25","2.51","6.99","1.26","2.71","4.34","1.02","5.58","3.66","5.76","good"
"B2439","7.26","5.57","1.79","3.01","2.31","3.99","1.18","8.93","9.69","2.9","good"
"B2440","3.14","4.87","5.08","7.81","1.89","6.22","7.54","3.39","9.86","9.34","good"
"B2441","1.86","4.87",".41","3.88","7.29","5.28",".93",".02","1.53",".14","good"
"B2442","1.33",".79","9.53","4.58","8.59",".15","1.25","6.43","6.83","3.39","poor"
"B2443","4.19","5.01","7.05","2.44","4.39","1.01","9.43",".55",".83","6.15","good"
"B2444",".58",".17","7.78",".01","7.39","3.74","3.11","2.38","7.73","7.08","good"
"B2445","2.71","6.52",".34","6.36","8.06","8.75","1.87","8.36","7.23","7.25","poor"
"B2446","6.92",".13","1.26","9.53","5.71","2.21","8.01","7.2","2.82","9.26","good"
"B2447","7.32","2.29","1.69","6.47","1.3","9.16","7.79",".97","9.54","7.81","good"
"B2448","3.71","8.78","3.67","8.62","6.4","1.18","6.51","9.26","3.01","4.09","good"
"B2449","8.74","6.41","8.54","4.98","6.36","9.89","3.62",".73","9.37","8.28","good"
"B2450","5","4.5","4.07","3.48","9.68","2.75",".31","2.79","1.09","4.71","good"
"B2451",".97","5.32","6.34","4.13","2.25",".4","5.01","1.98","1.52",".68","poor"
"B2452","8.74",".26","4.96","8.16",".15","7.4","6.05","2.33","8.23","6.7","poor"
"B2453","9.77","1.64","7.59","2.64","3.48","5.98","7.33",".7","9.69","3.82","poor"
"B2454","4.96","6.76","4.44","2.35",".35","4.03","8.17","5.08","8.63","2.19","poor"
"B2455","3.23","7.41","2.5","7.92","9.63","9.02","6.51","3.53","4.87","6.51","good"
"B2456","9.5","1.3","6.29","3.49","5.19","6.4","1.55","4.77","7.32","8.48","good"
"B2457","5.9","7.18","5.62","8.47","4.63","2.4","2.71","2.83","9.27","1.33","good"
"B2458","6.06","9.4","9.98",".14","5","1.74","9.01",".58","2.08","5.39","good"
"B2459","9.79","5","5.48","9.94","6.13","7.14","1.68","9.5","1.14","4.76","good"
"B2460",".85","4.7","4.24","5.19","3.88","2.27","7.41","6.34","5.74","7.52","good"
"B2461","4.2","3.17","7.86","2.19","5.78","4.46","6.85","4.31","5.2","7.97","good"
"B2462",".98","5.08","5.38","3.96","4.48","5.14","8.7","8.13","6.4","4.13","good"
"B2463","6.47","2.14","7.48","4.63","6.96","5.55","5.44",".8","7.09","9.35","good"
"B2464","7.88","1.07","9.07","1.05",".19","7.84","8.79","4.04","7.04","1.55","poor"
"B2465","8.53","8.12","6.55","8.54","6.01","1.8","5.51","1.57","4.03","5.66","good"
"B2466","3.39","1.03","6.25","7.98","2.05","5.87","7.94","3.17","3.03","2.43","good"
"B2467","8.17",".2","2.78","8.66","7.42","5.68",".85","2.34","2.61","2.65","good"
"B2468","8.65",".15","3.21",".33",".16","5.3","9.89","9.76","1.26","3.69","poor"
"B2469","6.07","3.64","8.05","3.98",".63","6.56","8.24","9.24",".68",".29","poor"
"B2470","8.51","9","7.41","7.69","7.44","9.8","5.44","3.7","6.96","9.88","good"
"B2471","9.02","4.01","6.01","6.3","8.32",".76","1.32","2.53","4.79","8.12","good"
"B2472","5.77","4","7.55",".97","4.04","1.77","4.06","1.21","8.27","2.07","good"
"B2473","4.68","6.52","4.94","4.02","8.63","3.41","2.51","9.18","8.53",".53","good"
"B2474","9.32","7.69","6.19","6.16","3.44","4.56","8.21",".4","3.85","4.28","good"
"B2475",".47","1.71","2.4",".88",".68",".13","6.88","9.05","1.75",".95","poor"
"B2476","2.59","9.03","4.96",".47",".61","5.86","6.31","1.78","9.93","3.4","poor"
"B2477","6.75","1.74","7.67","3.19","8.52","2.62","7.75","7.69","3.24","6.89","good"
"B2478","7.96","9.23","5.37","8.5","1.53","9.76","4.12","8.46","3.73","1.45","good"
"B2479","1.55","1.24","1.12","8","3.33","7.31","3.67","5.78","1.05","9.92","good"
"B2480","2.48","8.24","1.94",".29","3.97","2.72","4.88","5.3","4.43","3.09","good"
"B2481","9.57",".24","7.29","3.62","2.46","6.63",".99","6.37","4.14",".95","good"
"B2482","9.62","7.05","1.42","8.25","8.56",".09","6.34",".5","1.95","9.36","poor"
"B2483","1.15","8.92","7.03","2.59","4.65","1.72","5.21",".7","6.13",".44","good"
"B2484","8.34","2.93","3.13","6","7.69","6.82","1.18","2.39","6.34","5.04","good"
"B2485","7.95","4.32","6","2.51","1.78","8.64","5.74","9.83","9.04","4.59","good"
"B2486","2.47","3.86","6.75","1.25","7.61","1.03","3.47","9.88","8.28","9.96","good"
"B2487","9.97","9.59","8.7","5.02","1.78","1.04","2.59","6.85","3.4","8.41","good"
"B2488","6.72","9.02","8.01","5.47","2.13",".8","4.81",".43","3.22",".73","good"
"B2489","3.06","9.02","5.04","5.97","9.18","9.93","9.39","3.22","8.21","9.56","good"
"B2490","5.01","3.39","5.67","8.5","8.3",".95","2.64","7.19","3.01","9.14","good"
"B2491","9.6","5.48","5.71","6.7","2.28","8.94","9.2","1.6",".36","2.37","good"
"B2492","9.65","1.78","3.65","5.8","6.89","9.78","6.88","6.81","6.62","8.34","good"
"B2493","9.02","4.92","4.06","8.14","4.11","1.8","9.5","8.25","9.5","1.49","good"
"B2494","9.17","3.53","2.71","7.95","9.24","7.75","9.24","5.72","4.69","3.61","good"
"B2495","6.91","7.33","1.26","6.57","4.99","3.85","6.36","6.77","1.46","7.13","good"
"B2496","9.62","5.56","4.21","3.51","8.25",".63",".07","1.19","6.06","6.41","good"
"B2497","4.19","1.15",".93","8.75","7.77","4.71","5.88","8.5","8.33","9.23","good"
"B2498","2.62","4.48","5.13","4.13","2.85","5.92","3.82","2.95","3.18",".88","good"
"B2499","4.66","2.36","4.66","2.18",".48","5.24","8.26","3.5","9.21","3.56","poor"
"B2500","2.94",".33","5.78","7.07",".44","5.02","3.94","1.3","7.17","2.95","poor"
"B2501","9.38","5.61","7.05","3.64","8.57","7.45","8.64","3.19","1.11","7.33","good"
"B2502","5.41","4.23","3.36","4.79","6.97","9.86","2.05","6.69","4.77","8.89","good"
"B2503","7.27","5.21","8.99","9.2","2.67","2.94","8.82","4.52","5.85","4.63","good"
"B2504","5.06","8.41","3.29","7.25","5.14","1.86","1.21","5.61","4.17","7","good"
"B2505",".6","1.42","6.23","7.22","6.25","9.47","8.58","8.86","4.18","6.03","good"
"B2506",".89","7.85","5","3.58","1.86","1.19","9.03","3.39","7.75","6.61","good"
"B2507","7.59","9.54","8.13","9.54","3.5","5.94","6.07","3.77",".3","9.95","good"
"B2508","6.67","2.39","1.13","1.78","7.68","8.81","5.82","8.14","2.47","3.82","good"
"B2509","6.63","7.28","3.61","4.58","5.48","5.63","6.69","2.12",".03","3.7","good"
"B2510","2.17","3.72",".86","8.48","4.86","6.41",".05","5.11","5.32",".54","good"
"B2511","3.43","8.35","1.07","5.68","5.87","8.72","5.44","2.47","7.74",".05","good"
"B2512","3.07","7.42","4.55","7.63","3.92","1.55","6.03","9.06","9.91","2.46","good"
"B2513","4.95","6.94",".25","5.05","5.88","5.69",".28","6","9.1",".81","poor"
"B2514","3.1","4.74","2.77","3.62","5.82","4.35","4.79",".7","2.65","7.26","good"
"B2515","4.84","5.03","4.75","6.01","4.15","2.28","1.18","7.09","4.12","9.21","good"
"B2516","8.71","6.8","6.9","2.63","3.03","4.89","7.38","4.18","9.09","9.76","good"
"B2517","5.16","4.57","5.7","5.61","9.06","9.72","4.87","2.8","2.51","5.45","good"
"B2518","8.42","2.23","3.96",".64","1.94",".46",".18",".16","7.54","4.89","poor"
"B2519","3.06","8.75","4.13","3.21","4.97","4.06","2.22",".43",".51",".2","good"
"B2520","1.65","1.53","6.9","4.06","1.96","2.7","2.65","2.32",".39","8.29","good"
"B2521","6.03","6.62","5.75","5.28","4.86","7.47",".64","1.43",".63","7.6","good"
"B2522",".82","9.52","5.67",".26","1.58","6.72","7.96","7.99","9.2","6.49","good"
"B2523","6.37","1.56","1.98","2.5","1.59","3.63","4.83",".1","4.38","5.69","good"
"B2524","5.81","6.44","1.42","7.93","6.45",".34","6.47","9.16","8.28","8.31","poor"
"B2525","1.88","3.86","5.19","1.81","2.77","9.93","6.2",".93","7.74","6.41","good"
"B2526","3.9","3.06","3.59","2.11",".09","3.31","1.2",".6","2.4","8.16","poor"
"B2527","3.59",".93","5.47","5.19","8","3.02","7.82","2.7","7.45","9.21","good"
"B2528","3.81","1.36","7.36","6.12","7.62",".4","5.76","3.2","5.55","3.43","poor"
"B2529","2.77","2.3","6.41","7.08","4.5","7.33","6.74","4.67",".22","6.57","good"
"B2530","5.47","9.91","8.73",".14","2.62","5.11","9.88","9.73",".53","3.88","good"
"B2531","5.86","5.4",".63","5.16","1.01","7.54","6.13","6.98","8.86",".59","poor"
"B2532","1.31","7.18","9.54",".81","4.7","7.93","3","8.55","5.68","3.26","good"
"B2533","5.19",".66","5.32","4.67","9.3",".82","1.47","7.19",".4","4.66","good"
"B2534",".92","5.45","1.62","4.48","5.65","7.55","4.48","5.98","2.98","4.83","good"
"B2535","3.53","2.74","5.11",".2","6.78","6.32","7.07","6.16","9.03","3.12","good"
"B2536","4.95","1.72","5.67","4.32","2.64","4.8","8.67","7.24","4.59","2.68","good"
"B2537","2.76","8.24","8.85","4.8","8.46","4.93","2.64","2.2","4.72","8.65","good"
"B2538","8.88","3.56","3.96","6.52","5.92","2.81","9.31","3.93","3.57","8.05","good"
"B2539","7.02","9.56","2.31","2.93","3.24","9.2","7.27","1.96","8.35","3.61","poor"
